cpu0,cpu1,cpu2,cpu3,memory_used,memory_percent,timestamp
10.0,2.0,2.0,10.9,3429101568,43.7,1747368408.815795
11.1,2.0,4.0,14.0,3429093376,43.7,1747368409.816926
21.0,6.9,11.9,4.0,3429838848,43.7,1747368410.818013
17.2,5.0,3.0,2.0,3428806656,43.7,1747368411.819044
8.1,10.1,18.4,4.1,3428835328,43.7,1747368412.820078
8.8,1.0,10.1,3.0,3428790272,43.7,1747368413.821192
6.9,15.0,1.0,6.2,3428790272,43.7,1747368414.822194
10.1,14.0,3.0,8.1,3431399424,43.7,1747368415.823143
8.1,10.1,1.0,3.9,3430825984,43.7,1747368416.824106
2.0,10.9,0.0,1.0,3430825984,43.7,1747368417.826054
10.1,11.9,2.0,5.0,3430842368,43.7,1747368418.82734
9.1,1.0,16.0,4.1,3430842368,43.7,1747368419.828319
2.0,2.9,11.0,6.9,3431100416,43.7,1747368420.832546
13.1,1.0,5.9,2.0,3430563840,43.7,1747368421.833605
15.2,2.0,1.0,4.0,3430584320,43.7,1747368422.83462
17.0,0.0,2.0,4.0,3430576128,43.7,1747368423.835593
16.0,3.0,2.0,5.1,3431084032,43.7,1747368424.836548
16.2,5.1,2.0,4.0,3431600128,43.7,1747368425.837625
1.0,9.1,3.9,3.0,3431600128,43.7,1747368426.838644
13.0,2.0,0.0,5.0,3431591936,43.7,1747368427.83962
10.9,1.0,4.0,1.0,3431579648,43.7,1747368428.842888
15.3,6.0,5.1,10.1,3431063552,43.7,1747368429.844271
9.3,9.1,5.9,4.0,3428724736,43.7,1747368430.845226
11.1,0.0,2.0,2.9,3427434496,43.7,1747368431.846189
11.9,6.0,2.0,1.0,3427426304,43.7,1747368432.84713
10.0,6.0,1.0,1.0,3427176448,43.7,1747368433.848075
19.2,4.1,5.1,6.1,3425722368,43.7,1747368434.848997
11.9,9.1,4.0,5.0,3427426304,43.7,1747368435.849947
3.0,15.0,3.0,1.0,3427438592,43.7,1747368436.850876
1.0,10.0,1.0,3.0,3427438592,43.7,1747368437.851814
0.0,14.1,0.0,2.0,3427426304,43.7,1747368438.852754
2.0,25.0,4.0,6.1,3426910208,43.7,1747368439.853803
5.0,14.0,2.0,5.0,3427700736,43.7,1747368440.854764
2.0,5.1,4.0,10.1,3427160064,43.7,1747368441.855687
4.0,4.0,12.2,1.0,3427160064,43.7,1747368442.856621
1.0,6.1,12.9,3.1,3427155968,43.7,1747368443.857615
7.1,12.9,5.1,5.9,3427155968,43.7,1747368444.859409
4.0,17.3,7.8,9.2,3426381824,43.7,1747368445.860677
6.1,10.9,4.0,16.0,3426369536,43.7,1747368446.861666
6.0,9.2,4.0,2.0,3426369536,43.7,1747368447.862608
0.0,10.0,4.9,2.0,3426361344,43.7,1747368448.86358
10.9,15.8,5.1,1.0,3427905536,43.7,1747368449.864501
8.2,15.2,5.1,6.0,3427897344,43.7,1747368450.865437
3.0,10.0,3.0,1.0,3427401728,43.7,1747368451.866431
6.1,11.0,4.0,4.0,3427385344,43.7,1747368452.867431
6.1,9.1,3.0,0.0,3427373056,43.7,1747368453.868355
3.0,11.0,4.0,4.0,3427131392,43.7,1747368454.869289
8.0,11.1,4.0,7.1,3427622912,43.7,1747368455.870682
4.1,3.0,17.0,2.0,3427364864,43.7,1747368456.871781
5.9,4.0,2.0,7.0,3427385344,43.7,1747368457.872737
5.1,3.0,3.0,11.0,3427364864,43.7,1747368458.873798
2.0,1.0,6.9,19.0,3427876864,43.7,1747368459.874736
5.1,3.1,8.9,13.0,3427635200,43.7,1747368460.875747
1.0,2.0,6.0,20.2,3426861056,43.7,1747368461.876817
0.0,10.1,2.0,0.0,3426844672,43.7,1747368462.877834
0.0,10.1,3.0,5.1,3426844672,43.7,1747368463.878843
5.1,12.1,5.9,6.9,3427102720,43.7,1747368464.879891
2.0,14.1,4.0,1.0,3427360768,43.7,1747368465.880831
2.0,3.0,4.9,15.2,3426299904,43.7,1747368466.882656
5.0,1.0,2.0,19.0,3426557952,43.7,1747368467.883886
2.0,1.0,0.0,10.0,3426578432,43.7,1747368468.88482
5.0,6.9,2.0,15.8,3427352576,43.7,1747368469.88578
7.1,1.0,3.0,13.1,3428642816,43.7,1747368470.886732
3.0,2.0,2.0,11.1,3428372480,43.7,1747368471.887704
3.0,5.1,2.0,17.0,3427573760,43.7,1747368472.888675
2.0,0.0,2.0,9.0,3427565568,43.7,1747368473.889641
4.0,7.0,3.0,14.0,3426033664,43.7,1747368474.89058
5.0,8.0,3.0,13.1,3426037760,43.7,1747368475.891816
2.0,2.0,13.1,2.0,3425521664,43.7,1747368476.892867
2.0,10.1,6.1,1.0,3425521664,43.7,1747368477.894714
2.0,19.2,4.0,2.0,3425501184,43.7,1747368478.895965
5.1,10.9,2.0,1.0,3425501184,43.7,1747368479.896929
3.0,18.2,5.9,2.0,3425996800,43.7,1747368480.89788
2.0,15.0,2.0,4.0,3423588352,43.6,1747368481.898821
1.0,10.0,2.0,2.0,3423862784,43.6,1747368482.899743
2.0,20.6,4.0,1.0,3423596544,43.6,1747368483.900678
3.0,15.2,2.0,4.0,3425918976,43.7,1747368484.901673
3.0,13.1,4.0,3.9,3425697792,43.7,1747368485.902622
3.0,18.0,2.0,0.0,3425968128,43.7,1747368486.903547
2.0,9.9,3.0,1.0,3425705984,43.7,1747368487.904461
2.0,14.3,2.0,2.0,3425701888,43.7,1747368488.906651
10.1,15.0,10.0,3.0,3426201600,43.7,1747368489.907892
6.1,11.0,3.0,2.0,3426459648,43.7,1747368490.908821
3.0,10.0,7.0,3.9,3425959936,43.7,1747368491.909786
1.0,10.0,6.9,2.0,3425959936,43.7,1747368492.910707
1.0,9.1,1.0,0.0,3425959936,43.7,1747368493.911623
4.0,17.2,9.0,3.0,3425701888,43.7,1747368494.912551
4.0,11.0,7.1,6.0,3426742272,43.7,1747368495.913462
3.0,13.0,0.0,1.0,3425705984,43.7,1747368496.914457
4.0,10.0,8.9,3.0,3425705984,43.7,1747368497.91552
5.1,11.0,11.1,2.0,3425525760,43.7,1747368498.916622
5.1,10.0,0.0,4.0,3425906688,43.7,1747368499.918294
6.9,8.1,17.0,3.0,3426951168,43.7,1747368500.919491
3.0,1.0,12.0,2.0,3426955264,43.7,1747368501.920456
6.1,6.9,16.8,6.9,3424890880,43.7,1747368502.921471
2.0,3.0,12.2,2.0,3425144832,43.7,1747368503.922494
