cpu0,cpu1,cpu2,cpu3,memory_used,memory_percent,timestamp
14.9,8.2,20.2,95.0,4049424384,51.3,1747376508.198671
11.2,30.7,16.3,97.0,4051140608,51.3,1747376509.200805
15.2,8.0,14.0,95.0,4050903040,51.3,1747376510.203532
13.1,11.0,52.5,56.4,4051927040,51.3,1747376511.204921
4.0,7.4,12.4,97.0,4051660800,51.3,1747376512.206067
18.4,21.2,25.3,95.0,4050079744,51.3,1747376513.207171
10.2,6.1,14.0,97.0,4044664832,51.2,1747376514.208237
13.3,17.8,20.2,95.0,4044918784,51.2,1747376515.209292
15.2,8.2,14.1,96.0,4045676544,51.2,1747376516.210456
4.0,8.2,14.0,96.0,4045414400,51.2,1747376517.211836
18.4,9.1,11.9,95.0,4046168064,51.2,1747376518.212968
16.2,40.4,12.2,61.0,4043059200,51.2,1747376519.214214
9.9,17.0,13.0,81.8,4042289152,51.2,1747376520.219693
19.8,17.3,16.2,82.8,4042285056,51.2,1747376521.221371
8.2,94.9,16.8,7.0,4041887744,51.2,1747376522.222958
10.3,95.0,17.2,7.1,4041482240,51.2,1747376523.224191
10.2,96.0,16.3,9.0,4041256960,51.2,1747376524.225369
10.9,95.0,19.2,4.0,4041256960,51.2,1747376525.226639
10.3,96.0,15.2,9.2,4042797056,51.2,1747376526.227813
12.0,64.6,33.7,19.8,4042272768,51.2,1747376527.229041
7.1,95.0,15.0,11.2,4042530816,51.2,1747376528.23023
17.3,95.0,17.6,21.8,4042371072,51.2,1747376529.233677
10.0,65.0,44.4,6.1,4042252288,51.2,1747376530.234862
35.4,19.0,10.1,65.3,4043284480,51.2,1747376531.235906
14.3,13.0,90.9,16.3,4042498048,51.2,1747376532.237431
7.3,32.0,81.0,15.0,4042506240,51.2,1747376533.239025
15.0,96.0,2.0,10.2,4043022336,51.2,1747376534.24052
17.0,96.0,9.1,8.2,4042051584,51.2,1747376535.242187
19.2,94.9,9.9,13.0,4043337728,51.2,1747376536.243724
7.3,95.0,14.0,6.1,4042543104,51.2,1747376537.245216
13.9,95.1,4.1,21.2,4043059200,51.2,1747376538.246382
